a,A
an,AN
able,できます
about,約
above,上記
abuse,乱用
accept,受け入れます
accident,事故
accuse,訴えます
across,横切って
act,行為
activist,活動家
actor,俳優
add,加えます
administration,行政
admit,認めます
adult,大人
advertise,宣伝します
advise,アドバイス
affect,影響を及ぼす
afraid,恐れ
after,後に
again,再び
against,に対して
age,年齢
agency,代理店
aggression,侵略
ago,前
agree,一致します
agriculture,農業
aid,援助
aim,目的
air,空気
air force,空軍
airplane,飛行機
airport,空港
album,アルバム
alcohol,アルコール
alive,生きています
all,すべて
ally,味方
almost,殆ど
alone,一人で
along,沿って
already,既に
also,さらに
although,であるが
always,常に
ambassador,大使
amend,改正します
ammunition,弾薬
among,間で
amount,量
anarchy,アナーキー
ancestor,祖先
ancient,古代
and,そして
anger,怒り
animal,動物
anniversary,記念日
announce,アナウンス
another,別の
answer,回答
any,どれか
apologize,謝ります
appeal,アピール
appear,現れる
appoint,任命します
approve,認めます
archeology,考古学
area,エリア
argue,論じます
arms,武器
army,軍
around,周りに
arrest,逮捕
arrive,着きます
art,アート
artillery,砲兵
as,として
ash,灰
ask,頼みます
assist,支援する
astronaut,宇宙飛行士
astronomy,天文学
a,A
an,AN
able,できます
about,約
above,上記
abuse,乱用
accept,受け入れます
accident,事故
accuse,訴えます
across,横切って
act,行為
activist,活動家
actor,俳優
add,加えます
administration,行政
admit,認めます
adult,大人
advertise,宣伝します
advise,アドバイス
affect,影響を及ぼす
afraid,恐れ
after,後に
again,再び
against,に対して
age,年齢
agency,代理店
aggression,侵略
ago,前
agree,一致します
agriculture,農業
aid,援助
aim,目的
air,空気
air force,空軍
airplane,飛行機
airport,空港
album,アルバム
alcohol,アルコール
alive,生きています
all,すべて
ally,味方
almost,殆ど
alone,一人で
along,沿って
already,既に
also,さらに
although,であるが
always,常に
ambassador,大使
amend,改正します
ammunition,弾薬
among,間で
amount,量
anarchy,アナーキー
ancestor,祖先
ancient,古代
and,そして
anger,怒り
animal,動物
anniversary,記念日
announce,アナウンス
another,別の
answer,回答
any,どれか
apologize,謝ります
appeal,アピール
appear,現れる
appoint,任命します
approve,認めます
archeology,考古学
area,エリア
argue,論じます
arms,武器
army,軍
around,周りに
arrest,逮捕
arrive,着きます
art,アート
artillery,砲兵
as,として
ash,灰
ask,頼みます
assist,支援する
astronaut,宇宙飛行士
astronomy,天文学
asylum,収容所
at,に
atmosphere,雰囲気
attach,アタッチ
attack,攻撃
attempt,試み
attend,出席する
attention,注意
automobile,自動車
autumn,秋
available,利用できます
average,平均
avoid,避ける
awake,起きている
award,賞
away,先に
baby,赤ちゃん
back,バック
bad,悪い
balance,バランス
ball,玉
balloon,バルーン
ballot,票
ban,禁止
bank,バンク
bar,バー
barrier,バリア
base,ベース
battle,戦い
be,されます
beat,ビート
beauty,美しさ
because,なぜなら
become,なります
bed,ベッド
before,前
begin,ベギン
behavior,動作
behind,後ろに
believe,信じます
belong,属する
below,以下
best,ベスト
betray,裏切る
better,よりよいです
between,の間に
big,大きい
bill,ビル
biology,生物学
bird,鳥
bite,一口
black,黒
blame,責め
bleed,出血します
blind,ブラインド
block,ブロック
blood,血液
blow,ブロー
blue,青
boat,ボート
body,体
boil,煮ます
bomb,爆弾
bone,骨
book,本
border,境界
born,うまれた
borrow,かりて
both,どちらも
bottle,ボトル
bottom,ボトム
box,ボックス
boy,男の子
boycott,ボイコット
brain,脳
brave,勇者
bread,パン
break,ブレーク
breathe,息をします
bridge,ブリッジ
brief,ブリーフ
bright,明るい
bring,持って来ます
broadcast,放送
brother,兄
brown,褐色
budget,予算
build,築きます
building,建物
bullet,弾丸
burn,燃やす
burst,バースト
bury,埋め込む
bus,バス
business,ビジネス
busy,忙しい
but,しかし
buy,購入
by,によって
cabinet,キャビネット
call,コール
calm,穏やか
camera,カメラ
camp,キャンプ
campaign,キャンペーン
can,できる
cancel,キャンセル
cancer,癌
candidate,候補者
capital,資本
capture,キャプチャー
car,車
care,お手入れ
career,キャリア
careful,注意深いです
carry,キャリー
case,場合
cat,ネコ
catch,キャッチ
cause,原因
ceasefire,停戦
celebrate,祝う
center,センター
century,世紀
ceremony,式
chairman,会長
champion,チャンピオン
chance,チャンス
change,変化する
charge,電荷
chase,追跡
cheat,騙します
cheer,歓声
chemicals,化学品
chemistry,化学
chief,チーフ
child,子
children,子供
choose,選択
circle,サークル
citizen,市民
city,シティ
civilian,民間人
civil rights,公民権
claim,請求
clash,衝突
class,クラス
clean,クリーン
clear,明確な
clergy,聖職者
climate,気候
climb,登る
clock,クロック
close,閉じる
cloth,布
clothes,服
cloud,雲
coal,石炭
coalition,連立
coast,海岸
coffee,コーヒー
cold,コールド
collapse,崩壊
collect,集めます
college,カレッジ
colony,コロニー
color,色
combine,コンバイン
come,来ます
command,コマンド
comment,コメント
committee,委員会
common,一般
communicate,コミュニケート
community,コミュニティ
company,会社
compare,比較します
compete,争います
complete,コンプリート
complex,コンプレックス
compromise,妥協
computer,コンピューター
concern,懸念
condemn,責めます
condition,調子
conference,会議
confirm,確かめます
conflict,コンフリクト
congratulate,祝います
Congress,会議
connect,コネクト
conservative,保守的
consider,考えます
constitution,憲法
contact,接触
contain,含む
container,コンテナ
continent,大陸
continue,持続する
control,コントロール
convention,コンベンション
cook,クック
cool,クール
cooperate,協力
copy,コピー
corn,コーン
correct,正しい
corruption,汚職
cost,コスト
cotton,コットン
count,カウント
country,国
court,裁判所
cover,カバー
cow,牛
crash,クラッシュ
create,作ります
creature,生物
credit,クレジット
crew,クルー
crime,犯罪
criminal,犯罪者
crisis,危機
criticize,批判します
crops,作物
cross,クロス
crowd,群集
crush,クラッシュ
cry,泣く
culture,文化
cure,治す
curfew,門限
current,現在
custom,カスタム
customs,税関
cut,カット
dam,ダム
damage,損傷
dance,ダンス
danger,危険
dark,ダーク
date,日付
daughter,娘
day,日
dead,デッド
deaf,聴覚障害者
deal,対処
debate,ディベート
debt,債務
decide,決めます
declare,宣言する
decrease,減少
deep,深い
defeat,敗北
defend,守る
deficit,赤字
define,定義
degree,度
delay,ディレイ
delegate,代表
demand,デマンド
democracy,民主主義
demonstrate,証明します
denounce,非難
deny,否定します
depend,依存
deplore,嘆きます
deploy,配備します
depression,うつ病
describe,述べます
desert,砂漠
design,設計
desire,慾望
destroy,破壊する
detail,ディテール
detain,引き留めます
develop,開発
device,デバイス
dictator,独裁者
die,死にます
diet,ダイエット
different,異なります
difficult,難しいです
dig,掘る
dinner,ディナー
diplomat,外交官
direct,直接
direction,方向
dirt,泥
disappear,姿を消す
disarm,武装を解除します
disaster,災害
discover,発見
discrimination,差別
discuss,話し合います
disease,疾患
dismiss,解任
dispute,紛争
dissident,反体制派
distance,距離
dive,ダイブ
divide,分割
do,行う
doctor,医師
document,資料
dog,犬
dollar,ドル
donate,寄付します
door,ドア
double,ダブル
down,ダウン
dream,夢
drink,ドリンク
drive,ドライブ
drop,ドロップ
drown,濡らします
drug,ドラッグ
dry,ドライ
during,間に
dust,ほこり
duty,デューティ
each,各
early,早いです
earn,得ます
earth,地球
earthquake,地震
ease,楽
east,東
easy,イージー
eat,食べる
ecology,エコロジー
economy,経済
edge,エッジ
education,教育
effect,効果
effort,努力
egg,卵
either,どちらか
elect,次期
electricity,電気
embassy,大使館
embryo,胎児
emergency,緊急
emotion,感情
employ,使います
empty,空の
end,終わり
enemy,敵
energy,エネルギー
enforce,施行します
engine,エンジン
engineer,エンジニア
enjoy,楽しい
enough,十分な
enter,入る
environment,環境
equal,等しい
equipment,装置
escape,エスケープ
especially,特に
establish,確立します
estimate,推計
ethnic,エスニック
evaporate,蒸発
even,さえ
event,イベント
ever,今までに
every,すべての
evidence,証拠
evil,悪の
exact,精密
examine,検査します
example,例
excellent,優れた
except,除きます
exchange,交換
excuse,言い訳
execute,実行
exercise,運動
exile,亡命
exist,存在します
expand,広げます
expect,期待します
expel,追い出します
experience,経験
experiment,実験
expert,専門
explain,説明します
explode,爆発します
explore,探ります
export,輸出する
express,表します
extend,延ばします
extra,エクストラ
extraordinary,素晴らしいです
extreme,極端な
extremist,過激派
face,面
fact,事実
factory,工場
fail,失敗します
fair,公正な
fall,秋
false,偽
family,家族
famous,名高いです
fan,ファン
far,遥か
farm,ファーム
fast,速いです
fat,脂肪
father,お父さん
favorite,お気に入り
fear,恐れ
federal,連邦の
feed,フィード
feel,感じます
female,女性
fence,フェンス
fertile,肥えました
few,少数
field,フィールド
fierce,激しい
fight,戦い
fill,埋めます
film,膜
final,最後の
financial,金融
find,見つけます
fine,罰金
finish,仕上がり
fire,火災
fireworks,花火
firm,当社
first,最初
fish,魚
fit,フィット
fix,直します
flag,旗
flat,平らな
flee,逃げます
float,浮く
flood,洪水
floor,床
flow,フロー
flower,花
fluid,流体
fly,飛ぶ
fog,霧
follow,従います
food,フード
fool,愚か者
foot,足
for,ために
force,力
foreign,外国の
forest,森林
forget,忘れる
forgive,許します
form,形
former,前者
forward,前方に
free,自由な
freedom,自由
freeze,フリーズ
fresh,新鮮な
friend,友人
frighten,怖がらせます
from,から
front,フロント
fruit,フルーツ
fuel,燃料
full,いっぱい
fun,遊び
funeral,葬儀
future,未来
gain,利得
game,ゲーム
gas,ガス
gather,ギャザー
general,一般的な
generation,世代
genocide,大虐殺
gentle,穏やか
get,取得する
gift,贈り物
girl,女の子
give,与える
glass,ガラス
go,行きます
goal,ゴール
god,神
gold,ゴールド
good,良い
goods,品
govern,治めます
government,政府
grain,粒
grass,草
gray,グレー
great,すばらしいです
green,緑
grind,グラインド
ground,接地
group,グループ
grow,育ちます
guarantee,保証
guard,ガード
guerrilla,ゲリラ
guide,ガイド
guilty,有罪の
gun,銃
hair,ヘア
half,ハーフ
halt,停止します
hang,ハング
happen,起こります
happy,ハッピー
hard,ハード
harm,害
harvest,収穫
hat,帽子
hate,嫌い
have,持ってる
he,彼
head,頭
headquarters,本部
heal,癒します
health,健康
hear,聞く
heat,熱
heavy,ヘビー
helicopter,ヘリコプター
help,助けて
here,ここに
hero,ヒーロー
hide,隠す
high,高い
hijack,ハイジャック
hill,丘
history,歴史
hit,ヒット
hold,ホールド
hole,穴
holiday,休日
holy,聖なる
home,家
honest,正直な
honor,名誉
hope,希望
horrible,恐ろしい
horse,うま
hospital,病院
hostage,人質
hostile,敵意のあります
hot,ホット
hotel,ホテル
hour,時間
house,家
how,どうやって
however,しかしながら
huge,巨大
human,人間
humor,ユーモア
hunger,飢え
hunt,ハント
hurry,急ぎます
hurt,傷つけます
husband,夫
I,私
ice,氷
idea,アイディア
identify,識別
if,もし
ignore,無視します
illegal,違法
imagine,想像します
immediate,即座
immigrant,移民
import,インポート
important,重要
improve,改善します
in,に
incident,入射
incite,促します
include,含めます
increase,増加する
independent,独立の
individual,個人
industry,業界
infect,感染
inflation,インフレーション
influence,影響
inform,通知します
information,情報
inject,注射します
injure,痛めます
innocent,無実の
insane,非常識
insect,昆虫
inspect,検査
instead,その代わり
instrument,器械
insult,侮辱
intelligence,インテリジェンス
intelligent,インテリジェント
intense,激しいです
interest,関心
interfere,干渉する
international,国際
Internet,インターネット
intervene,介入
invade,侵します
invent,発明します
invest,投資
investigate,調べます
invite,招待する
involve,巻き込みます
iron,鉄
island,島
issue,問題
it,それ
jail,刑務所
jewel,宝石
job,ジョブ
join,加わります
joint,ジョイント
joke,冗談で
judge,裁判官
jump,ジャンプ
jury,陪審
just,ただ
justice,正義
keep,キープ
kick,キック
kidnap,誘拐犯
kill,殺します
kind,種類
kiss,キッス
knife,ナイフ
know,知っています
knowledge,知識
labor,労働
